Код,"Наименование специальности, направление подготовки",Уровень образования,Реализуемые формы обучения,Описание ООП,Учебный план,Аннотации рабочих программ дисциплин с приложением копий,Календарный учебный график,Методические и иные документы,Информации о практиках,Использование электронного обучения
03.06.01,"Физика и астрономия (направленность ""Физика полупроводников"")",высшее образование – подготовка кадров высшей квалификации,очная,https://edu.vsu.ru/pluginfile.php/64314/mod_data/content/1319271/%D0%9E%D0%9E%D0%9F_%D0%B0%D1%81%D0%BF_%D1%8D%D0%BB%D0%B5%D0%BA%D1%82%D1%80%D0%BE%D1%85%D0%B8%D0%BC%D0%B8%D1%8F_2020.pdf,Нет,Аннотация к ООП,Нет,Методические указания по изучению дисциплины Научно-исследовательский...Методические указания для обучающихся по освоению дисциплины...Методические указания по выполнению и защите выпускных...,Нет,Нет
03.06.01,"Физика и астрономия (направленность ""Физика полупроводников"")",высшее образование – подготовка кадров высшей квалификации,очная,https://edu.vsu.ru/pluginfile.php/64314/mod_data/content/1332220/05.06.01%20%D0%9D%D0%B0%D1%83%D0%BA%D0%B8%20%D0%BE%20%D0%97%D0%B5%D0%BC%D0%BB%D0%B5_%D0%B3%D0%B5%D0%BE%D1%8D%D0%BA%D0%BE%D0%BB%D0%BE%D0%B3%D0%B8%D1%8F_%D0%BE%D1%87%D0%BD%D0%B0%D1%8F_%D0%93%D0%93%D0%B8%D0%A2_2020_%D0%9E%D0%9E%D0%9F%20.pdf,Нет,Аннотация к АОП,Нет,Нет,Нет,Нет
04.06.01,"Химические науки (направленность ""Аналитическая химия"")",высшее образование – подготовка кадров высшей квалификации,очная,https://edu.vsu.ru/pluginfile.php/64314/mod_data/content/1335572/%D0%9E%D0%9E%D0%9F_05.06.01_%D0%90%D0%A1%D0%9F_%D0%A4%D0%98%D0%97_2020%20.pdf,Уч. план ООП,Аннотация к ООП,Уч. график ООП,Положение о ГИАПоложение о научном руководителе аспирантаПоложение НИР_аспПоложение НИС_асп,Практики,Да
04.06.01,"Химические науки (направленность ""Аналитическая химия"")",высшее образование – подготовка кадров высшей квалификации,очная,https://edu.vsu.ru/pluginfile.php/64314/mod_data/content/1322416/%D0%9E%D0%9E%D0%9F%2006.06.01_%D0%91%D0%B8%D0%BE%D0%BB%D0%BE%D0%B3%D0%B8%D1%87%D0%B5%D1%81%D0%BA%D0%B8%D0%B5%20%D0%BD%D0%B0%D1%83%D0%BA%D0%B8_%D0%91%D0%B8%D0%BE%D1%85%D0%B8%D0%BC%D0%B8%D1%8F%20%D0%B0%D1%81%D0%BF%D0%B8%D1%80%D0%B0%D0%BD%D1%82%D1%83%D1%80%D0%B0.%202020.pdf,Уч. план АОП,Аннотация к АОП,Уч. график АОП,Положение о ГИАПоложение НИР_аспПоложение НИС_асп,Практики,Да
04.06.01,"Химические науки (направленность ""Высокомолекулярные соединения"")",высшее образование – подготовка кадров высшей квалификации,очная,https://edu.vsu.ru/pluginfile.php/64314/mod_data/content/1328913/%D0%9E%D0%9E%D0%9F%2006.06.01%20%D0%91%D0%B8%D0%BE%D0%BB%D0%BE%D0%B3%D0%B8%D1%87%D0%B5%D1%81%D0%BA%D0%B8%D0%B5%20%D0%BD%D0%B0%D1%83%D0%BA%D0%B8%20%D0%91%D0%BE%D1%82%D0%B0%D0%BD%D0%B8%D0%BA%D0%B0%20%D0%BE%D1%87%D0%BD%D0%B0%D1%8F%202020.pdf,Уч. план ООП,Аннотация к ООП,Уч. график ООП,Положение о ГИАПоложение о научных исследованиях аспирантов ВГУПоложение о научно-исследовательском семинаре аспирантов...,Практики,Да
04.06.01,"Химические науки (направленность ""Неорганическая химия"")",высшее образование – подготовка кадров высшей квалификации,очная,https://edu.vsu.ru/pluginfile.php/64314/mod_data/content/1841066/%D0%9E%D0%9E%D0%9F_060601_%D0%93%D0%B5%D0%BD%D0%B5%D1%82%D0%B8%D0%BA%D0%B0_2020_%D0%B7%D0%B0%D0%BE%D1%87%D0%BD%D0%B0%D1%8F.pdf,Уч. план ООП,Аннотация к ООП,Уч. график ООП,Положение о ГИА,Практики,Да
04.06.01,"Химические науки (направленность ""Органическая химия"")",высшее образование – подготовка кадров высшей квалификации,очная,https://edu.vsu.ru/pluginfile.php/64314/mod_data/content/1327374/%D0%9E%D0%9E%D0%9F_060601_%D0%93%D0%B5%D0%BD%D0%B5%D1%82%D0%B8%D0%BA%D0%B0_2020.pdf,Уч. план ООП,Аннотация к ООП,Уч. график ООП,Положение о ГИА,Практики,Да
04.06.01,"Химические науки (направленность ""Органическая химия"")",высшее образование – подготовка кадров высшей квалификации,очная,https://edu.vsu.ru/pluginfile.php/64314/mod_data/content/1366330/%D0%9E%D0%9E%D0%9F%2006.06.01_2020%20%D0%91%D0%B8%D0%BE%D0%BB%D0%BE%D0%B3%D0%B8%D1%87%D0%B5%D1%81%D0%BA%D0%B8%D0%B5%20%D0%BD%D0%B0%D1%83%D0%BA%D0%B8_%D0%AD%D0%BD%D1%82%D0%BE%D0%BC%D0%BE%D0%BB%D0%BE%D0%B3%D0%B8%D1%8F_%D0%BE%D1%87%D0%BD%D0%B0%D1%8F.pdf,Уч. план АОП,Аннотация к АОП,Уч. график АОП,Положение о ГИА,Практики,Да
04.06.01,"Химические науки (направленность ""Электрохимия"")",высшее образование – подготовка кадров высшей квалификации,очная,https://edu.vsu.ru/pluginfile.php/64314/mod_data/content/1332021/%D0%9E%D0%9E%D0%9F_09.06.01_05.13.18_%D0%9C%D0%9C%D0%A7%D0%9C%D0%B8%D0%9A%D0%9F_2019.pdf,Уч. план ООП,Аннотация к ООП,Уч. график ООП,Положение о ГИАПоложение о научных исследованияхПоложение о научно-исследовательском семинаре,Практики,Да
05.06.01,"Науки о земле (направленность ""Геоэкология (географические науки)"")",высшее образование – подготовка кадров высшей квалификации,очная,https://edu.vsu.ru/pluginfile.php/64314/mod_data/content/1968614/%D0%9E%D0%9E%D0%9F-05.13.01%D0%BD_2020.pdf,Уч. план ООП,Аннотация к ООП,Уч. график ООП,Положение о ГИАПоложение о НИР-семинаре аспирантов.pdfПоложение о науч руководителе аспирантаПоложение о НИР аспирантов,Практики,Да
