Код,"Наименование специальности, направление подготовки",Уровень образования,Реализуемые формы обучения,Описание ООП,Учебный план,Аннотации рабочих программ дисциплин с приложением копий,Календарный учебный график,Методические и иные документы,Информации о практиках,Использование электронного обучения
40.06.01,"Юриспруденция (направленность ""Финансовое право; налоговое право; бюджетное право"")",высшее образование – подготовка кадров высшей квалификации,заочная,https://edu.vsu.ru/pluginfile.php/64314/mod_data/content/1331127/%D0%9E%D0%9F%D0%9E%D0%9F_01.03.02_%D0%94%D0%A1%D0%B8%D0%A3_2019.pdf,Нет,Нет,Нет,Положение о ГИА,Нет,Да
40.06.01,"Юриспруденция (направленность ""Финансовое право; налоговое право; бюджетное право"")",высшее образование – подготовка кадров высшей квалификации,очная,https://edu.vsu.ru/pluginfile.php/64314/mod_data/content/1331170/%D0%9E%D0%9F%D0%9E%D0%9F_01.03.02_%D0%98%D0%90%D0%B8%D0%9E%D0%91%D0%94_2019.pdf,Уч. план ООП,Нет,Уч. график ООП,Положение о ГИА,Нет,Да
40.06.01,"Юриспруденция (направленность ""Финансовое право; налоговое право; бюджетное право"")",высшее образование – подготовка кадров высшей квалификации,очная,https://edu.vsu.ru/pluginfile.php/64314/mod_data/content/1331199/%D0%9E%D0%9F%D0%9E%D0%9F_01.03.02_%D0%98%D0%A2%D0%B4%D0%92%D0%A1_2019.pdf,Нет,Нет,Нет,Положение о ГИА,Нет,Да
41.06.01,"Политические науки и регионоведение (направленность ""Политические институты, процессы и технологии"")",высшее образование – подготовка кадров высшей квалификации,очная,https://edu.vsu.ru/pluginfile.php/64314/mod_data/content/1331233/%D0%9E%D0%9F%D0%9E%D0%9F_01.03.02_%D0%9C%D0%B8%D0%9A%D0%9C%D0%B2%D0%9F%D0%A0_2019.pdf,Уч. план ООП,Аннотация к ООП,Уч. график ООП,Положение о ГИА,Практики,Нет
44.06.01,"Образование и педагогические науки (направленность ""Общая педагогика, история педагогики и образования"")",высшее образование – подготовка кадров высшей квалификации,заочная,https://edu.vsu.ru/pluginfile.php/64314/mod_data/content/1331305/%D0%9E%D0%9F%D0%9E%D0%9F_01.03.02_%D0%A2%D0%A0%D0%9F%D0%9E%D0%B8%D0%9A%D0%9E%D0%94_2019.pdf,Уч. план ООП,Аннотация к ООП,Уч. график ООП,Положение о ГИА,Нет,Да
44.06.01,"Образование и педагогические науки (направленность ""Общая педагогика, история педагогики и образования"")",высшее образование – подготовка кадров высшей квалификации,очная,https://edu.vsu.ru/pluginfile.php/64314/mod_data/content/1331339/%D0%9E%D0%9F%D0%9E%D0%9F_01.03.03_%D0%9A%D0%98%D0%B2%D0%9C%D0%A1%D0%A1_2019.pdf,Уч. план ООП,Аннотация к ООП,Уч. график ООП,Положение о ГИА,Нет,Да
44.06.01,"Образование и педагогические науки (направленность ""Общая педагогика, история педагогики и образования"")",высшее образование – подготовка кадров высшей квалификации,очная,https://edu.vsu.ru/pluginfile.php/64314/mod_data/content/1299753/%D0%9E%D0%9F%D0%9E%D0%9F_01.03.04_%D0%9F%D0%9C_%D0%9F%D1%80%D0%B8%D0%BC%D0%B5%D0%BD.%20%D0%BC%D0%B0%D1%82.%20%D0%BC%D0%B5%D1%82%D0%BE%D0%B4%D0%BE%D0%B2%20%D0%BA%20%D1%80%D0%B5%D1%88.%20%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD.%20%D0%B7%D0%B0%D0%B4%D0%B0%D1%87_2020.pdf,Уч. план АОП,Нет,Уч. график АОП,Нет,Нет,Да
45.06.01,"Языкознание и литературоведение (направленность ""Германские языки"")",высшее образование – подготовка кадров высшей квалификации,очная,https://edu.vsu.ru/pluginfile.php/64314/mod_data/content/1316851/%D0%9E%D0%9F%D0%9E%D0%9F%20020301_%D0%9A%D0%A2%D0%98_%D0%BE%D1%87%D0%BD%D0%B0%D1%8F_2020.pdf,Уч. план ООП,Аннотация к ООП,Уч. график ООП,Нет,Практики,Да
45.06.01,"Языкознание и литературоведение (направленность ""Журналистика"")",высшее образование – подготовка кадров высшей квалификации,заочная,https://edu.vsu.ru/pluginfile.php/64314/mod_data/content/1298404/%D0%9E%D0%9F%D0%9E%D0%9F_02.03.01_%D0%9C%D0%B8%D0%9A%D0%9D_%20%D0%9C%D0%B0%D1%82.%20%D0%BC%D0%B5%D1%82.%20%D0%B8%20%D0%BA%D0%BE%D0%BC%D0%BF.%20%D1%82%D0%B5%D1%85%D0%BD._2020.pdf,Уч. план ООП,Аннотация к ООП,Уч. график ООП,Положение о ГИАПоложение о научных исследованиях аспирантовПоложение о научном руководителе аспиранта,Практики,Да
45.06.01,"Языкознание и литературоведение (направленность ""Журналистика"")",высшее образование – подготовка кадров высшей квалификации,заочная,https://edu.vsu.ru/pluginfile.php/64314/mod_data/content/1331098/%D0%9E%D0%9F%D0%9E%D0%9F%20%2002-03-01-20%20%D0%9C%D0%B8%D0%9A%D0%9D%20%D0%9C%D0%B0%D1%82%D0%B5%D0%BC%20%D0%B8%20%D0%BA%D0%BE%D0%BC%D0%BF%20%D0%BC%D0%BE%D0%B4%D0%B5%D0%BB.pdf,Уч. план АОП,Аннотация к АОП,Уч. график АОП,Положение о ГИАПоложение о научных исследованиях аспирантовПоложение о научном руководителе аспиранта,Практики,Да
45.06.01,"Языкознание и литературоведение (направленность ""Журналистика"")",высшее образование – подготовка кадров высшей квалификации,очная,https://edu.vsu.ru/pluginfile.php/64314/mod_data/content/1316750/%D0%9E%D0%9F%D0%9E%D0%9F%20020301_%D0%A0%D0%A1%D0%B8%D0%98%D0%98_%D0%BE%D1%87%D0%BD%D0%B0%D1%8F_2020.pdf,Уч. план ООП,Аннотация к ООП,Уч. график ООП,Положение о ГИАПоложение о научных исследованиях аспирантовПоложение о научном руководителе аспиранта,Практики,Да
45.06.01,"Языкознание и литературоведение (направленность ""Журналистика"")",высшее образование – подготовка кадров высшей квалификации,очная,https://edu.vsu.ru/pluginfile.php/64314/mod_data/content/1331382/%D0%9E%D0%9F%D0%9E%D0%9F_02.03.02_%D0%98%D0%9F%D0%9E_2019.pdf,Уч. план АОП,Аннотация к АОП,Уч. график АОП,Положение о ГИАПоложение о научных исследованиях аспирантовПоложение о научном руководителе аспиранта,Практики,Да
45.06.01,"Языкознание и литературоведение (направленность ""Литература народов стран зарубежья (с указанием конкретной литературы)"")",высшее образование – подготовка кадров высшей квалификации,заочная,https://edu.vsu.ru/pluginfile.php/64314/mod_data/content/1331411/%D0%9E%D0%9F%D0%9E%D0%9F_02.03.03_%D0%9F%D0%B8%D0%A0%D0%98%D0%A1_2019.pdf,Уч. план ООП,Аннотация к ООП,Уч. график ООП,Положение о ГИАНИР аспирантовНИС аспирантов,Практики,Да
45.06.01,"Языкознание и литературоведение (направленность ""Литература народов стран зарубежья (с указанием конкретной литературы)"")",высшее образование – подготовка кадров высшей квалификации,очная,https://edu.vsu.ru/pluginfile.php/64314/mod_data/content/1354584/03.03.02_%D0%A4%D0%B8%D0%B7%D0%B8%D0%BA%D0%B0_%D0%9E%D0%9E%D0%9F_%D0%A4%D0%9B%D0%B8%D0%A1%D0%A2_%D0%BE%D1%87%D0%BD%D0%B0%D1%8F_%D1%84%D0%B8%D0%B7%D1%84%D0%B0%D0%BA_2020.pdf,Уч. план ООП,Аннотация к ООП,Уч. график ООП,Положение о ГИАНИР аспирантовНИС аспирантов,Практики,Да
45.06.01,"Языкознание и литературоведение (направленность ""Романские языки"")",высшее образование – подготовка кадров высшей квалификации,очная,https://edu.vsu.ru/pluginfile.php/64314/mod_data/content/1353860/03.03.02_2020%20%D0%9E%D0%9E%D0%9F.pdf,Уч. план ООП,Аннотация к ООП,Уч. график ООП,Нет,Практики,Да
45.06.01,"Языкознание и литературоведение (направленность ""Русская литература"")",высшее образование – подготовка кадров высшей квалификации,заочная,https://edu.vsu.ru/pluginfile.php/64314/mod_data/content/1324688/%D0%9E%D0%9E%D0%9F_03.03.02_%D0%A4%D0%B8%D0%B7%D0%B8%D0%BA%D0%B0_%D0%AF%D0%B8%D0%9C%D1%84_2020.pdf,Уч. план ООП,Аннотация к ООП,Уч. график ООП,Положение о ГИАНИР аспирантовНИС аспирантов,Практики,Да
45.06.01,"Языкознание и литературоведение (направленность ""Русская литература"")",высшее образование – подготовка кадров высшей квалификации,очная,https://edu.vsu.ru/pluginfile.php/64314/mod_data/content/1349838/%D0%9E%D0%9E%D0%9F%203%2B%20%D0%92%D0%93%D0%A3%20%D0%A0%D0%90%D0%94%D0%98%D0%9E%D0%A4%D0%98%D0%97%D0%98%D0%9A%D0%90%20%D0%9A%D0%AD%20%D0%B1%D0%B0%D0%BA%202020-2021.pdf,Уч. план ООП,Аннотация к ООП,Уч. график ООП,Положение о ГИАНИР аспирантовНИС аспирантов,Практики,Да
45.06.01,"Языкознание и литературоведение (направленность ""Русский язык"")",высшее образование – подготовка кадров высшей квалификации,заочная,https://edu.vsu.ru/pluginfile.php/64314/mod_data/content/1349867/%D0%9E%D0%9E%D0%9F%203%2B%20%D0%92%D0%93%D0%A3%20%D0%A0%D0%90%D0%94%D0%98%D0%9E%D0%A4%D0%98%D0%97%D0%98%D0%9A%D0%90%20%D0%9A%D0%A2%20%D0%B1%D0%B0%D0%BA%202020-2021.pdf,Уч. план ООП,Аннотация к ООП,Уч. график ООП,Положение о ГИАНИР аспирантовНИС аспирантов,Практики,Да
45.06.01,"Языкознание и литературоведение (направленность ""Русский язык"")",высшее образование – подготовка кадров высшей квалификации,очная,https://edu.vsu.ru/pluginfile.php/64314/mod_data/content/1349896/%D0%9E%D0%9E%D0%9F%203%2B%2003.03.03%20%D0%A0%D0%A4%20%D0%9C%D0%AD%D0%B8%D0%9F%D0%9F%D0%9F%20%202020.pdf,Уч. план ООП,Аннотация к ООП,Уч. график ООП,Положение о ГИАНИР аспирантовНИС аспирантов,Практики,Да
45.06.01,"Языкознание и литературоведение (направленность ""Теория языка"")",высшее образование – подготовка кадров высшей квалификации,очная,https://edu.vsu.ru/pluginfile.php/64314/mod_data/content/1344878/04.03.01%20%D0%9F%D1%80%D0%B8%D0%BA%D0%BB%D0%B0%D0%B4%D0%BD%D0%B0%D1%8F%20%D1%85%D0%B8%D0%BC%D0%B8%D1%8F%20%D0%B1%D0%B0%D0%BA%202020%20%2B%D0%94%D0%9E%D0%A2%2B%20%D0%BF%D0%BE%D0%B4%D0%BF%D0%B8%D1%81%D0%B8%20%281%29.pdf,Уч. план ООП,Аннотация к ООП,Уч. график ООП,Нет,Практики,Да
46.06.01,"Исторические науки и археология (направленность ""Археология"")",высшее образование – подготовка кадров высшей квалификации,заочная,https://edu.vsu.ru/pluginfile.php/64314/mod_data/content/1344303/04.03.01%20%D0%A5%D0%B8%D0%BC%D0%B8%D1%8F_%D0%A2%D0%B5%D0%BE%D1%80%D0%B5%D1%82%D0%B8%D1%87%D0%B5%D1%81%D0%BA%D0%B0%D1%8F%20%D0%B8%20%D1%8D%D0%BA%D1%81%D0%BF%D0%B5%D1%80%D0%B8%D0%BC%D0%B5%D0%BD%D1%82%D0%B0%D0%BB%D1%8C%D0%BD%D0%B0%D1%8F%20%D1%85%D0%B8%D0%BC%D0%B8%D1%8F_%D0%BE%D1%87%D0%BD%D0%B0%D1%8F_%D1%85%D0%B8%D0%BC%D0%B8%D1%87%D0%B5%D1%81%D0%BA%D0%B8%D0%B9_%D0%9E%D0%9E%D0%9F_2020.pdf,Уч. план ООП,Аннотация к ООП,Уч. график ООП,Положение о ГИАПоложение о научных исследованиях,Практики,Нет
46.06.01,"Исторические науки и археология (направленность ""Археология"")",высшее образование – подготовка кадров высшей квалификации,очная,https://edu.vsu.ru/pluginfile.php/64314/mod_data/content/1268102/%D0%9E%D0%9E%D0%9F%2004.03.02_%D0%9C%D0%B0%D1%82%D0%B5%D1%80%D0%B8%D0%B0%D0%BB%D0%BE%D0%B2%D0%B5%D0%B4%D0%B5%D0%BD%D0%B8%D0%B5%20%D0%B8%20%D0%B8%D0%BD%D0%B4%D1%83%D1%81%D1%82%D1%80%D0%B8%D1%8F%20%D0%BD%D0%B0%D0%BD%D0%BE%D1%81%D0%B8%D1%81%D1%82%D0%B5%D0%BC_%D0%BE%D1%87%D0%BD%D0%B0%D1%8F_2020.pdf,Уч. план ООП,Аннотация к ООП,Уч. график ООП,Положение о ГИАПоложение о научных исследованиях Положение о НИС аспирантовПоложение о научном руководителе аспиранта,Практики,Нет
47.06.01,"Философия, этика и религиоведение (направленность ""Онтология и теория познания"")",высшее образование – подготовка кадров высшей квалификации,заочная,https://edu.vsu.ru/pluginfile.php/64314/mod_data/content/1362319/%D0%9E%D0%9E%D0%9F_05.03.01_%D0%B3%D0%B5%D0%BE%D0%BB%D0%BE%D0%B3%D0%B8%D1%8F_%D0%B3%D0%B5%D0%BE%D0%BB%D0%BE%D0%B3%D0%B8%D1%8F_%D0%BE%D1%87%D0%BD%D0%B0%D1%8F_2020-2021.pdf,Уч. план ООП,Аннотация к ООП,Уч. график ООП,Нет,Нет,Да
47.06.01,"Философия, этика и религиоведение (направленность ""Онтология и теория познания"")",высшее образование – подготовка кадров высшей квалификации,заочная,https://edu.vsu.ru/pluginfile.php/64314/mod_data/content/1362396/%D0%9E%D0%9E%D0%9F_05.03.01_%D0%B3%D0%B5%D0%BE%D0%BB%D0%BE%D0%B3%D0%B8%D1%8F_%D0%B3%D0%B5%D0%BE%D1%84%D0%B8%D0%B7%D0%B8%D0%BA%D0%B0_%D0%BE%D1%87%D0%BD%D0%B0%D1%8F_2020.pdf,Уч. план АОП,Аннотация к АОП,Уч. график АОП,Нет,Нет,Да
47.06.01,"Философия, этика и религиоведение (направленность ""Онтология и теория познания"")",высшее образование – подготовка кадров высшей квалификации,очная,https://edu.vsu.ru/pluginfile.php/64314/mod_data/content/1362555/%D0%9E%D0%9E%D0%9F_05.03.01_%D0%B3%D0%B5%D0%BE%D0%BB%D0%BE%D0%B3%D0%B8%D1%8F_%D0%B3%D0%B5%D0%BE%D1%85%D0%B8%D0%BC%D0%B8%D1%8F_%D0%B7%D0%B0%D0%BE%D1%87%D0%BD%D0%B0%D1%8F_2020.pdf,Уч. план ООП,Аннотация к ООП,Уч. график ООП,Нет,Нет,Да
47.06.01,"Философия, этика и религиоведение (направленность ""Онтология и теория познания"")",высшее образование – подготовка кадров высшей квалификации,очная,https://edu.vsu.ru/pluginfile.php/64314/mod_data/content/1362461/%D0%9E%D0%9E%D0%9F_05.03.01_%D0%B3%D0%B5%D0%BE%D0%BB%D0%BE%D0%B3%D0%B8%D1%8F_%D0%B3%D0%B8%D0%B4%D1%80%D0%BE%D0%B3%D0%B5%D0%BE%D0%BB%D0%BE%D0%B3%D0%B8%D1%8F%20%D0%B8%20%D0%B8%D0%BD%D0%B6%20%D0%B3%D0%B5%D0%BE%D0%BB%D0%BE%D0%B3%D0%B8%D1%8F_%D0%BE%D1%87%D0%BD%D0%B0%D1%8F_2020.pdf,Уч. план АОП,Аннотация к АОП,Уч. график АОП,Нет,Нет,Да
47.06.01,"Философия, этика и религиоведение (направленность ""Социальная философия"")",высшее образование – подготовка кадров высшей квалификации,заочная,https://edu.vsu.ru/pluginfile.php/64314/mod_data/content/1362502/%D0%9E%D0%9E%D0%9F_05.03.01_%D1%8D%D0%BA%D0%BE%D0%BB%D0%BE%D0%B3%D0%B8%D1%87%D0%B5%D1%81%D0%BA%D0%B0%D1%8F%20%D0%B3%D0%B5%D0%BE%D0%BB%D0%BE%D0%B3%D0%B8%D1%8F_%D0%B3%D0%B5%D0%BE%D0%BB%D0%BE%D0%B3%D0%B8%D1%8F_%D0%BE%D1%87%D0%BD%D0%B0%D1%8F_2020.pdf,Уч. план ООП,Аннотация к ООП,Уч. график ООП,"Положение о ГИАМетодические материалы для ООП 47.06.01 Философия,...",Практики,Да
47.06.01,"Философия, этика и религиоведение (направленность ""Социальная философия"")",высшее образование – подготовка кадров высшей квалификации,очная,https://edu.vsu.ru/pluginfile.php/64314/mod_data/content/1335251/%D0%9E%D0%9E%D0%9F%2005.03.02_%D0%A4%D0%B8%D0%B7%D0%B8%D1%87%D0%B5%D1%81%D0%BA%D0%B0%D1%8F%20%D0%B3%D0%B5%D0%BE%D0%B3%D1%80%D0%B0%D1%84%D0%B8%D1%8F%20%D0%B8%20%D0%BB%D0%B0%D0%BD%D0%B4%D1%88%D0%B0%D1%84%D1%82%D0%BE%D0%B2%D0%B5%D0%B4%D0%B5%D0%BD%D0%B8%D0%B5_%D0%BE%D1%87%D0%BD%D0%B0%D1%8F_2020%2B.pdf,Нет,Аннотация к ООП,Нет,Нет,Нет,Нет
47.06.01,"Философия, этика и религиоведение (направленность ""Этика"")",высшее образование – подготовка кадров высшей квалификации,заочная,https://edu.vsu.ru/pluginfile.php/64314/mod_data/content/1332325/05.03.02_%D0%93%D0%B5%D0%BE%D0%B3%D1%80%D0%B0%D1%84%D0%B8%D1%8F_%D0%AD%D0%B8%D0%A1%D0%93_%D0%BE%D1%87%D0%BD%D0%B0%D1%8F_%D0%93%D0%93%D0%B8%D0%A2_2020.pdf,Уч. план ООП,Аннотация к ООП,Уч. график ООП,"Положение о ГИАМетодические материалы для ООП 47.06.01 Философия,...",Практики,Да
51.06.01,"Культурология (направленность ""Теория и история культуры"")",высшее образование – подготовка кадров высшей квалификации,очная,https://edu.vsu.ru/pluginfile.php/64314/mod_data/content/1332120/05.03.06_%D0%AD%D0%B8%D0%9F_%D0%94%D0%9E_%D0%B3%D0%B5%D0%BE%D1%8D%D0%BA%D0%BE%D0%BB%D0%BE%D0%B3%D0%B8%D1%8F_2020_%D0%9E%D0%9E%D0%9F%20.pdf,Уч. план ООП,Аннотация к ООП,Уч. график ООП,Положение о ГИАМетодические материалы ООП 51.06.01 Культурология,Практики,Да
01.03.01,"Математика (профиль ""Дифференциальные уравнения, динамические системы и оптимальное управление"")",высшее образование – бакалавриат,очная,https://edu.vsu.ru/pluginfile.php/64314/mod_data/content/1332149/05.03.06_%D0%AD%D0%B8%D0%9F_%D0%94%D0%9E_%D0%BF%D1%80%D0%B8%D1%80%D0%BE%D0%B4%D0%BE%D0%BF%D0%BE%D0%BB%D1%8C%D0%B7%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D0%B5_2020_%D0%9E%D0%9E%D0%9F%20.pdf,Уч. план ООП,Аннотация к ООП,Уч. график ООП,Положение о ГИАОрганизация самостоятельной работыОформление курсовых и выпускных работ,Практики,Да
01.03.01,"Математика (профиль ""Дифференциальные уравнения, динамические системы и оптимальное управление"")",высшее образование – бакалавриат,очная,https://edu.vsu.ru/pluginfile.php/64314/mod_data/content/1332785/%D0%9E%D0%9E%D0%9F2020.pdf,Уч. план АОП,Аннотация к АОП,Уч. график АОП,Положение о ГИАОрганизация самостоятельной работыОформление курсовых и выпускных работ,Практики,Да
01.03.02,"Прикладная математика и информатика (профиль ""Динамические системы и управление"")",высшее образование – бакалавриат,очная,https://edu.vsu.ru/pluginfile.php/64314/mod_data/content/1322303/%D0%9E%D0%9E%D0%9F%20060301%20%D0%91%D0%B8%D0%BE%D0%BB%D0%BE%D0%B3%D0%B8%D1%8F%20%D0%91%D0%B8%D0%BE%D0%BC%D0%B5%D0%B4%D0%B8%D1%86%D0%B8%D0%BD%D0%B0%20%D0%B1%D0%B0%D0%BA%D0%B0%D0%BB%D0%B0%D0%B2%D1%80%202020.pdf,Уч. план ООП,Аннотация к ООП,Уч. график ООП,Положение о ГИАПрограмма ГИАМетодические указания по оформлению ВКР,Практики,Да
01.03.02,"Прикладная математика и информатика (профиль ""Динамические системы и управление"")",высшее образование – бакалавриат,очная,https://edu.vsu.ru/pluginfile.php/64314/mod_data/content/1325920/2020%20%D0%9E%D0%9E%D0%9F%20060301%20%D0%91%D0%B8%D0%BE%D0%BB%D0%BE%D0%B3%D0%B8%D1%8F%20%D0%91%D0%B8%D0%BE%D1%84%D0%B8%D0%B7%D0%B8%D0%BA%D0%B0%20%D0%B1%D0%B0%D0%BA%D0%B0%D0%BB%D0%B0%D0%B2%D1%80.pdf,Уч. план АОП,Аннотация к АОП,Уч. график АОП,Положение о ГИАПрограмма ГИАМетодические указания по оформлению ВКР,Практики,Да
01.03.02,"Прикладная математика и информатика (профиль ""Информационная аналитика и обработка больших данных"")",высшее образование – бакалавриат,очная,https://edu.vsu.ru/pluginfile.php/64314/mod_data/content/1334359/%D0%9E%D0%9E%D0%9F%20060301%20%D0%91%D0%B8%D0%BE%D0%BB%D0%BE%D0%B3%D0%B8%D1%8F%20%D0%91%D0%B8%D0%BE%D1%85%D0%B8%D0%BC%D0%B8%D1%8F_2020.pdf,Уч. план ООП,Аннотация к ООП,Уч. график ООП,Положение о ГИАПрограмма ГИАМетодические указания по оформлению ВКР,Практики,Да
01.03.02,"Прикладная математика и информатика (профиль ""Информационная аналитика и обработка больших данных"")",высшее образование – бакалавриат,очная,https://edu.vsu.ru/pluginfile.php/64314/mod_data/content/1327276/%D0%9E%D0%9E%D0%9F%2006.03.01%20%D0%91%D0%B8%D0%BE%D0%BB%D0%BE%D0%B3%D0%B8%D1%8F%20%D0%91%D0%BE%D1%82%D0%B0%D0%BD%D0%B8%D0%BA%D0%B0%20%D0%BE%D1%87%D0%BD%D0%B0%D1%8F%202020.pdf,Уч. план АОП,Аннотация к АОП,Уч. график АОП,Положение о ГИАПрограмма ГИАМетодические указания по оформлению ВКР,Практики,Да
01.03.02,"Прикладная математика и информатика (профиль ""Информационные технологии для вычислительных систем"")",высшее образование – бакалавриат,очная,https://edu.vsu.ru/pluginfile.php/64314/mod_data/content/1327403/%D0%9E%D0%9E%D0%9F_060301_%D0%93%D0%B5%D0%BD%D0%B5%D1%82%D0%B8%D0%BA%D0%B0_2020.pdf,Уч. план ООП,Аннотация к ООП,Уч. график ООП,Положение о ГИАПрограмма ГИАМетодические указания по оформлению ВКР,Практики,Да
01.03.02,"Прикладная математика и информатика (профиль ""Информационные технологии для вычислительных систем"")",высшее образование – бакалавриат,очная,https://edu.vsu.ru/pluginfile.php/64314/mod_data/content/1325044/%D0%9E%D0%9E%D0%9F%2006.03.01%202020%20%D0%97%D0%BE%D0%BE%D0%BB%D0%BE%D0%B3%D0%B8%D1%8F.pdf,Уч. план АОП,Аннотация к АОП,Уч. график АОП,Положение о ГИАПрограмма ГИАМетодические указания по оформлению ВКР,Практики,Да
01.03.02,"Прикладная математика и информатика (профиль ""Математические и компьютерные методы в прикладных разработках"")",высшее образование – бакалавриат,очная,https://edu.vsu.ru/pluginfile.php/64314/mod_data/content/1325815/%D0%9E%D0%9E%D0%9F%20060301%20%D0%91%D0%B8%D0%BE%D0%BB%D0%BE%D0%B3%D0%B8%D1%8F%20%D0%A4%D0%B8%D0%B7%D0%B8%D0%BE%D0%BB%D0%BE%D0%B3%D0%B8%D1%8F%20%D0%B1%D0%B0%D0%BA%D0%B0%D0%BB%D0%B0%D0%B2%D1%80%202020-2021.pdf,Уч. план ООП,Аннотация к ООП,Уч. график ООП,Положение о ГИАПрограмма ГИАМетодические указания по оформлению ВКР,Практики,Да
01.03.02,"Прикладная математика и информатика (профиль ""Математические и компьютерные методы в прикладных разработках"")",высшее образование – бакалавриат,очная,https://edu.vsu.ru/pluginfile.php/64314/mod_data/content/1349925/%D0%9E%D0%9E%D0%9F%203%2B%2B%20%D0%98%D0%92%D0%A2%20%D0%B1%D0%B0%D0%BA.pdf,Уч. план АОП,Аннотация к АОП,Уч. график АОП,Положение о ГИАПрограмма ГИАМетодические указания по оформлению ВКР,Практики,Да
01.03.02,"Прикладная математика и информатика (профиль ""Технологии разработки программного обеспечения и компьютерной обработки данных"")",высшее образование – бакалавриат,очная,https://edu.vsu.ru/pluginfile.php/64314/mod_data/content/1349224/%D0%9E%D0%9F%D0%9E%D0%9F_3%2B%2B_2020_090302_%D0%98%D0%A1%D0%B8%D0%A2_%D0%98%D0%A1%D0%A2%D0%9A_s.pdf,Уч. план ООП,Аннотация к ООП,Уч. график ООП,Положение о ГИАПрограмма ГИАМетодические указания по оформлению ВКР,Практики,Да
01.03.02,"Прикладная математика и информатика (профиль ""Технологии разработки программного обеспечения и компьютерной обработки данных"")",высшее образование – бакалавриат,очная,https://edu.vsu.ru/pluginfile.php/64314/mod_data/content/1337560/%D0%9E%D0%9F%D0%9E%D0%9F_3%2B%2B_2020_090302_%D0%98%D0%A1%D0%B8%D0%A2_%D0%98%D0%A1%D0%B8%D0%A1%D0%A2_v.1.2_s.pdf,Уч. план АОП,Аннотация к АОП,Уч. график АОП,Положение о ГИАПрограмма ГИАМетодические указания по оформлению ВКР,Практики,Да
01.03.03,"Механика и математическое моделирование (профиль ""Компьютерный инжиниринг в механике сплошных сред"")",высшее образование – бакалавриат,очная,https://edu.vsu.ru/pluginfile.php/64314/mod_data/content/1350721/%D0%9E%D0%9F%D0%9E%D0%9F_3%2B%2B_2020_%D0%98%D0%A1%D0%A3%D0%9F.pdf,Уч. план ООП,Аннотация к ООП,Уч. график ООП,Положение о ГИАПрограмма ГИАМетодические указания по оформлению ВКР,Практики,Да
01.03.03,"Механика и математическое моделирование (профиль ""Компьютерный инжиниринг в механике сплошных сред"")",высшее образование – бакалавриат,очная,https://edu.vsu.ru/pluginfile.php/64314/mod_data/content/1343893/%D0%9E%D0%9F%D0%9E%D0%9F_3%20%20_2020_090302_%D0%98%D0%A1%D0%B8%D0%A2_%D0%9E%D0%98%D0%9C%D0%9E_v.1.1.pdf,Уч. план АОП,Аннотация к АОП,Уч. график АОП,Положение о ГИАПрограмма ГИАМетодические указания по оформлению ВКР,Практики,Да
01.03.04,"Прикладная математика (профиль ""Применение математических методов к решению инженерных и экономических задач"")",высшее образование – бакалавриат,очная,https://edu.vsu.ru/pluginfile.php/64314/mod_data/content/1350820/%D0%9E%D0%9F%D0%9E%D0%9F_3%2B%2B_2020_090302_%D0%98%D0%A1%D0%B8%D0%A2_%D0%9F%D0%98%D0%B2%D0%98%D0%A1.pdf,Уч. план ООП,Аннотация к ООП,Уч. график ООП,Положение о ГИА,Практики,Да
01.03.04,"Прикладная математика (профиль ""Применение математических методов к решению инженерных и экономических задач"")",высшее образование – бакалавриат,очная,https://edu.vsu.ru/pluginfile.php/64314/mod_data/content/1317562/%D0%9E%D0%9F%D0%9E%D0%9F%20%D0%9F%D1%80%D0%B8%D0%BA%D0%BB%D0%B0%D0%B4%D0%BD%D0%B0%D1%8F%20%D0%B8%D0%BD%D1%84%D0%BE%D1%80%D0%BC%D0%B0%D1%82%D0%B8%D0%BA%D0%B0%202020%2B%2B.pdf,Уч. план АОП,Аннотация к АОП,Уч. график АОП,Положение о ГИА,Практики,Да
02.03.01,"Математика и компьютерные науки (профиль ""Квантовая теория информации"")",высшее образование – бакалавриат,очная,https://edu.vsu.ru/pluginfile.php/64314/mod_data/content/1331445/%D0%9E%D0%9F%D0%9E%D0%9F_09.03.03_%D0%9F%D0%98%D0%B2%D0%AE_2019.pdf,Уч. план ООП,Аннотация к ООП,Уч. график ООП,Положение о ГИА,Практики,Да
02.03.01,"Математика и компьютерные науки (профиль ""Квантовая теория информации"")",высшее образование – бакалавриат,очная,https://edu.vsu.ru/pluginfile.php/64314/mod_data/content/1354077/%D0%9E%D0%9F%D0%9E%D0%9F_3%2B%2B_2020_090304_%D0%9F%D0%98%D0%BD%D0%B6_%D0%98%D0%A1%D0%B8%D0%A1%D0%A2_v.2.pdf,Уч. план АОП,Аннотация к АОП,Уч. график АОП,Положение о ГИА,Практики,Да
