"subject","type","full_name","addr"
"Республика Дагестан","Дошкольные образовательные организации","Муниципальное казенное образовательное учреждение для детей дошкольного и младшего школьного возраста «Прогимназия «Ласточка» городского округа «город Кизляр»","368870, Республика Дагестан, г. Кизляр, ул. Грозненская, д. 114"
"Республика Дагестан","Дошкольные образовательные организации","Муниципальное казенное дошкольное образовательное учреждение «Центр развития ребенка - детский сад № 8 «Радуга»","368107, Республика Дагестан, г. Кизилюрт, пгт. Новый Сулак, ул. Заводская, д. 2"
"Республика Дагестан","Дошкольные образовательные организации","Муниципальное казенное дошкольное образовательное учреждение «Детский сад № 10 «Энергетик»","368101, Республика Дагестан, г. Кизилюрт, пгт. Бавтугай, ул. Пушкина, д. 8, к. А"
"Республика Дагестан","Дошкольные образовательные организации","Муниципальное казенное дошкольное образовательное учреждение «Центр развития ребенка - детский сад № 8» г. Избербаш Республики Дагестан","368502, Республика Дагестан, г. Избербаш, ул. М. Гаджиева, д. 84А"
"Республика Дагестан","Дошкольные образовательные организации","Муниципальное бюджетное дошкольное образовательное учреждение «Центр развития ребенка - детский сад № 5 «Гусельки»","368300, Республика Дагестан, г. Каспийск, ул. Ленина, д. 20 «А»"
"Республика Дагестан","Дошкольные образовательные организации","Муниципальное бюджетное дошкольное образовательное учреждение «Детский сад № 2»","367008, Республика Дагестан, г. Махачкала, ул. Некрасова, д. 69"
"Республика Дагестан","Дошкольные образовательные организации","Муниципальное бюджетное дошкольное образовательное учреждение «Детский сад № 6 «Горяночка»","367002, Республика Дагестан, г. Махачкала, ул. Пушкина, д. 34"
"Республика Дагестан","Дошкольные образовательные организации","Муниципальное бюджетное дошкольное образовательное учреждение «Детский сад № 11 «Чебурашка»","367007, Республика Дагестан, г. Махачкала, ул. Лаптиева, д. 28"
"Республика Дагестан","Дошкольные образовательные организации","Муниципальное бюджетное дошкольное образовательное учреждение «Центр развития ребенка - детский сад № 59»","367000, Республика Дагестан, г. Махачкала, пр-д Абдулхакима Исмаилова, д. 17, к. Б"
"Республика Дагестан","Дошкольные образовательные организации","Муниципальное бюджетное дошкольное образовательное учреждение «Центр развития ребенка - детский сад № 84»","367000, Республика Дагестан, г. Махачкала, пр-кт. Петра Первого, д. 57. корп. В"
"Республика Дагестан","Дошкольные образовательные организации","Муниципальное казенное дошкольное образовательное учреждение «Детский сад «Гебелек» общеразвивающего вида с. Халимбекаул Буйнакского района Республики Дагестан","368215, Республика Дагестан, Буйнакский р-н, с. Халимбекаул, ул. Юсупбековых, д. 7"
"Республика Дагестан","Дошкольные образовательные организации","Муниципальное бюджетное дошкольное образовательное учреждение «Детский сад № 3 «Бекенез»","368530, Республика Дагестан, Карабудахкентский р-н, с. Карабудахкент, ул. Дахадаева, д. 4"
"Республика Дагестан","Общеобразовательные организации","Муниципальное казенное общеобразовательное учреждение «Гимназия города Буйнакска»","368222, Республика Дагестан, г. Буйнакск, ул. Ленина, д. 42"
"Республика Дагестан","Общеобразовательные организации","Муниципальное казенное общеобразовательное учреждение «Средняя общеобразовательная школа № 3 города Буйнакска»","368220, Республика Дагестан, г. Буйнакск, ул. Фрунзе, д. 2 А"
"Республика Дагестан","Общеобразовательные организации","Муниципальное казенное общеобразовательное учреждение «Средняя общеобразовательная школа № 5 города Буйнакска»","368222, Республика Дагестан, г. Буйнакск, ул. Ленина, д. 62"
"Республика Дагестан","Общеобразовательные организации","Муниципальное бюджетное общеобразовательное учреждение «Средняя общеобразовательная школа № 9 города Буйнакска»","368222, Республика Дагестан, г. Буйнакск, мкр. Дружба, д. 64 А"
"Республика Дагестан","Общеобразовательные организации","Муниципальное казенное общеобразовательное учреждение «Многопрофильный лицей № 2 им. С. М. Кирова» городского округа «город Кизляр»","368830, Республика Дагестан, г. Кизляр, ул. Набережная, д. 1"
"Республика Дагестан","Общеобразовательные организации","Муниципальное казенное общеобразовательное учреждение «Кизлярская гимназия № 6 им. А. С. Пушкина» городского округа «город Кизляр»","368830, Республика Дагестан, г. Кизляр, ул. Циолковского, д. 14/2"
"Республика Дагестан","Общеобразовательные организации","Муниципальное казенное образовательное учреждение «Средняя общеобразовательная школа № 7 города Кизилюрт»","368124, Республика Дагестан, г. Кизилюрт, ул. Г. Цадаса, д. 40"
"Республика Дагестан","Общеобразовательные организации","Муниципальное казенное общеобразовательное учреждение «Средняя общеобразовательная школа № 8 города Кизилюрт»","368124, Республика Дагестан, г. Кизилюрт, ул. Г. Цадаса, д. 73б"
"Республика Дагестан","Общеобразовательные организации","Муниципальное бюджетное общеобразовательное учреждение «Средняя общеобразовательная школа № 6»","367039, Республика Дагестан, г. Махачкала, с. Новый Хушет, ул. Гагарина, д. 1, к. А"
"Республика Дагестан","Общеобразовательные организации","Муниципальное бюджетное общеобразовательное учреждение «Средняя общеобразовательная школа № 16»","367000, Республика Дагестан, г. Махачкала, ул. Дахадаева, д. 90"
"Республика Дагестан","Общеобразовательные организации","Муниципальное бюджетное общеобразовательное учреждение «Средняя общеобразовательная школа № 44»","367913, Республика Дагестан, г. Махачкала, с. Шамхал-Термен, ул. Победы, д. 6"
"Республика Дагестан","Общеобразовательные организации","Муниципальное бюджетное общеобразовательное учреждение «Лицей № 51»","367009, Республика Дагестан, г. Махачкала, ул. Островского, д. 18"
"Республика Дагестан","Общеобразовательные организации","Муниципальное казенное общеобразовательное учреждение «Краснооктябрьская средняя общеобразовательная школа имени Расула Гамзатова» Кизлярского района Республики Дагестан","368808, Республика Дагестан, Кизлярский р-н, с. Краснооктябрьское, ул. Степная, д. 34"
"Республика Дагестан","Общеобразовательные организации","Муниципальное казенное общеобразовательное учреждение «Цветковская гимназия» Кизлярского района Республики Дагестан","368805, Республика Дагестан, Кизлярский р-н, с. Цветковка, ул. Ленина, д. 6"
"Республика Дагестан","Общеобразовательные организации","Муниципальное казенное общеобразовательное учреждение «Червленно-Бурунская средняя общеобразовательная школа им. З.М. Акмурзаева»","368855, Республика Дагестан, Ногайский рн, с. Червленные Буруны, ул. Буржукова, д. 1"
"Республика Дагестан","Общеобразовательные организации","Муниципальное казенное общеобразовательное учреждение «Карагасская средняя общеобразовательная школа им. К.Ш. Кидирниязова»","368856, Республика Дагестан, Ногайский рн, с. Карагас, ул. Лермонтова, д. 51"
"Республика Дагестан","Общеобразовательные организации","Муниципальное бюджетное общеобразовательное учреждение «Хебдинская средняя общеобразовательная школа»","368430, Республика Дагестан, Шамильский р-н, с. Хебда, ул. Имама Шамиля, д. 3А"
"Республика Дагестан","Общеобразовательные организации","Муниципальное бюджетное общеобразовательное учреждение «Доргелинская средняя общеобразовательная школа №1»","368534, Республика Дагестан, Карабудахкентский р-н, с. Доргели, ул. Садовая, д. 5"
"Республика Дагестан","Общеобразовательные организации","Муниципальное бюджетное общеобразовательное учреждение «Нижнеказинищенский многопрофильный лицей»","368205, Республика Дагестан, Буйнакский р-н, с. Нижнее Казанище, ул. Абдурахмана- Хаджи Ас-Сугури, д. 9"
"Республика Ингушетия","Дошкольные образовательные организации","Государственное бюджетное дошкольное образовательное учреждение «Детский сад № 1 «Колокольчик» с.п. Яндаре»","386138, Республика Ингушетия, Назрановский р-н, с. Яндаре, мкр. Новый"
"Республика Ингушетия","Дошкольные образовательные организации","Государственное бюджетное дошкольное образовательное учреждение «Ясли сад № 2 г. Сунжа «Светлячок»","386203, Республика Ингушетия, Сунженский р-н, пгт. Сунжа, ул. Комсомольская, д. 112"
"Республика Ингушетия","Дошкольные образовательные организации","Государственное бюджетное дошкольное образовательное учреждение «Детский сад № 9 г. Назрани «Планета детства»","386101, Республика Ингушетия, г. Назрань, Центральный МО, ул. Новая, д. 33"
"Республика Ингушетия","Дошкольные образовательные организации","Государственное бюджетное дошкольное образовательное учреждение «Детский сад № 7 г. Малгобека «Сказка»","386302, Республика Ингушетия, г. Малгобек, ул. Восточная, д. 262А"
"Республика Ингушетия","Дошкольные образовательные организации","Государственное бюджетное дошкольное образовательное учреждение «Детский сад № 6 г. Малгобека «Ивушка»","386302, Республика Ингушетия, г. Малгобек, ул. Орджоникидзе, д. 4"
"Республика Ингушетия","Дошкольные образовательные организации","Государственное бюджетное дошкольное образовательное учреждение «Детский сад № 2 с.п. Экажево «Аленький цветочек»","386150, Республика Ингушетия, Назрановский р-н, с. Экажево, ул. Фронтовиков, д. 16"
"Республика Ингушетия","Дошкольные образовательные организации","Государственное бюджетное дошкольное образовательное учреждение «Детский сад г. Карабулак «Сказка»","386230, Республика Ингушетия, г. Карабулак, ул. Осканова, д. 28"
"Кабардино-Балкарская Республика","Дошкольные образовательные организации","Муниципальное казенное дошкольное образовательное учреждение «Детский сад № 25 компенсирующего вида «Золотой орешек» городского округа Нальчик КабардиноБалкарской Республики","360017, Кабардино-Балкарская Республика, г. Нальчик, ул. Бехтерева, д. 5"
"Кабардино-Балкарская Республика","Организации дополнительного образования детей","Муниципальное казенное учреждение дополнительного образования «Центр детского творчества» Терского муниципального района Кабардино-Балкарской Республики","361202, Кабардино-Балкарская Республика Терский р-н, г. Терек, ул. Канкошева, д. 45"
"Кабардино-Балкарская Республика","Организации дополнительного образования детей","Муниципальное казенное учреждение дополнительного образования «Центр детского творчества г.о. Баксан»","361534, Кабардино-Балкарская Республика, г. Баксан, пр-кт Ленина, д. 23"
"Республика Калмыкия","Общеобразовательные организации","Муниципальное бюджетное общеобразовательное учреждение «Средняя общеобразовательная школа № 3 имени Сергиенко Н. Г.»","358000, Республика Калмыкия, г. Элиста, ул. им. С. Стальского, д. 6"
"Карачаево-Черкесская Республика","Дошкольные образовательные организации","Муниципальное казенное дошкольное образовательное учреждение «Детский сад № 2 «Тополек» г. Усть-Джегуты»","369300, Карачаево-Черкесская Республика, Усть-Джегутинский р-н, г. Усть-Джегута, ул. Ленина, д. 95"
"Карачаево-Черкесская Республика","Дошкольные образовательные организации","Муниципальное казенное дошкольное образовательное учреждение «Детский сад № 1 «Огонек» поселок Медногорский»","369281, Карачаево-Черкесская Республика, Урупский р-н, пгт. Медногорский, ул. Бардина, д. 5 «Б»"
"Карачаево-Черкесская Республика","Дошкольные образовательные организации","Муниципальное казенное дошкольное образовательное учреждение «Детский сад «Дубок» а. Кош-Хабль»","369411, Карачаево-Черкесская Республика, Хабезский р-н, аул Кош-Хабль, ул. У. Хабекова, д. 17"
"Карачаево-Черкесская Республика","Дошкольные образовательные организации","Муниципальное казенное дошкольное образовательное учреждение «Центр развития ребенка - детский сад «Маленькая страна» № 10 с. Учкекен»","369380, Карачаево-Черкесская Республика, Малокарачаевский р-н, с. Учкекен, ул. Умара Алиева, д. 62"
"Карачаево-Черкесская Республика","Организации дополнительного образования детей","Карачаево-Черкесская республиканская государственная бюджетная организация дополнительного образования «Республиканская детско-юношеская спортивная школа единоборств «Олимпик»","369300, Карачаево-Черкесская Республика, Усть-Джегутинский р-н, г. Усть-Джегута, ул. Морозова, д. 47"
"Республика Карелия","Дошкольные образовательные организации","Муниципальное дошкольное образовательное учреждение Беломорского муниципального района «Беломорский детский сад комбинированного вида «Солнышко»","186500, Республика Карелия, Беломорский р-н, г. Беломорск, ул. Воронина, д. 1А"
"Республика Карелия","Дошкольные образовательные организации","Муниципальное казенное дошкольное образовательное учреждение детский сад № 3 п. Ледмозеро","186970, Республика Карелия, Муезерский р-н, п. Ледмозеро, ул. 50 лет ВЛКСМ, д. 25"
"Республика Карелия","Дошкольные образовательные организации","Муниципальное казенное дошкольное образовательное учреждение «Детский сад комбинированного вида № 2 г. Медвежьегорска»","186350, Республика Карелия, Медвежьегорский р-н, г. Медвежьегорск, ул. М. Горького, д. 7А, 9"
"Республика Карелия","Дошкольные образовательные организации","Муниципальное бюджетное дошкольное образовательное учреждение Петрозаводского городского округа «Детский сад комбинированного вида № 7 «Ауринко»","185034, Республика Карелия, г. Петрозаводск, ул. Нойбрандербургская (Ключевая р-н), д. 18 А"
"Республика Карелия","Дошкольные образовательные организации","Муниципальное бюджетное дошкольное образовательное учреждение Петрозаводского городского округа «Финноугорский детский сад комбинированного вида № 20 «Лумикелло»","185003, Республика Карелия, г. Петрозаводск, ул. Машезерская (Голиковка р-н), д. 48 Б"
"Республика Карелия","Дошкольные образовательные организации","Муниципальное бюджетное дошкольное образовательное учреждение Петрозаводского городского округа «Детский сад комбинированного вида № 100 «Сосенка»","185026, Республика Карелия, г. Петрозаводск, ул. Ровио (Кукковка), д. 17А"
"Республика Карелия","Дошкольные образовательные организации","Муниципальное бюджетное дошкольное образовательное учреждение Петрозаводского городского округа «Детский сад комбинированного вида № 102 «Пингвин»","185026, Республика Карелия, г. Петрозаводск, Карельский пр-кт (Кукковка р-н), д. 6А"
"Республика Карелия","Дошкольные образовательные организации","Муниципальное бюджетное дошкольное образовательное учреждение Петрозаводского городского округа «Детский сад комбинированного вида № 113 «Онеженка»","185014, Республика Карелия, г. Петрозаводск, пер. Попова (Древлянка рн), д. 11"
"Республика Карелия","Дошкольные образовательные организации","Муниципальное дошкольное образовательное учреждение № 21 детский сад «Сказка» г. Питкяранта Республики Карелия","186810, Республика Карелия, Питкярантский р-н, г. Питкяранта, ул. Парковая, д. 2"
"Республика Карелия","Дошкольные образовательные организации","Муниципальное дошкольное образовательное учреждение детский сад № 20 «Родничок» п. Ладва","185518, Республика Карелия, Прионежский р-н, п. Ладва, ул. Советская, д. 96, корп. Б"
"Республика Карелия","Дошкольные образовательные организации","Муниципальное казѐнное дошкольное образовательное учреждение детский сад №3 «Солнышко» г. Лахденпохья","186730, Республика Карелия, г.Лахденпохья, ул. Трубачева, д. 1"
"Республика Карелия","Дошкольные образовательные организации","Муниципальное казенное дошкольное образовательное учреждение Сортавальского муниципального района Республики Карелия детский сад № 23 «Ладушки»","186792, Республика Карелия, г. Сортавала, ул. Комсомольская, д. 8, эт. 5, каб. 9"
"Республика Карелия","Организации дополнительного образования детей","Муниципальное образовательное учреждение дополнительного образования Кондопожского муниципального района «Дом творчества детей и юношества»","186220, Республика Карелия, Кондопожский р-н, г. Кондопога, ул. Пролетарская, д. 1"
"Республика Коми","Дошкольные образовательные организации","Муниципальное бюджетное дошкольное образовательное учреждение «Детский сад № 19 «Василек» компенсирующего вида","169840, Республика Коми, г. Инта, ул. Мира, д. 15, корп. А"
"Республика Коми","Дошкольные образовательные организации","Муниципальное автономное дошкольное образовательное учреждение «Детский сад № 61» г. Сыктывкара","167005, Республика Коми, г. Сыктывкар, ул. Малышева, д. 5"
"Республика Коми","Дошкольные образовательные организации","Муниципальное дошкольное образовательное учреждение «Детский сад № 1 комбинированного вида» с. Визинга","168100, Республика Коми, Сысольский р-н, с. Визинга, ул. Школьная, д. 7"
"Республика Крым","Дошкольные образовательные организации","Муниципальное бюджетное дошкольное образовательное учреждение «Березка» села Червоное Сакского район Республики Крым","296572, Республика Крым, Сакский р-н, с. Червоное, ул. Широкая, д. 20"
"Республика Крым","Общеобразовательные организации","Муниципальное бюджетное общеобразовательное учреждение «Тенистовская средняя общеобразовательная школа» Бахчисарайского района Республики Крым","298452, Республика Крым, Бахчисарайский р-н, с. Тенистое, ул. Ленина, д. 37"
"Республика Крым","Общеобразовательные организации","Муниципальное бюджетное общеобразовательное учреждение «Краснознаменская школа» Красногвардейского района Республики Крым","297050, Республика Крым, Красногвардейский р-н, с. Краснознаменка, ул. Школьная, д. 23"
"Республика Крым","Общеобразовательные организации","Муниципальное бюджетное общеобразовательное учреждение «Ильинский учебно-воспитательный комплекс» муниципального образования Красноперекопский район Республики Крым","296052, Республика Крым, Красноперекопский р-н, с. Ильинка, ул. Конституции, д. 1-А"
